countrycode,country,rgdpe_2013,rgdpo_2013,pop_2013,emp_2013,avh_2013,rgdpe_2014,rgdpo_2014,pop_2014,emp_2014,avh_2014
SRB,Serbia,96338.48438,96211.85156,7.163033,1.891544938,,95797.74219,96191.28125,7.127137,1.874231935,
GHA,Ghana,97233.22656,96343.60938,26.164432,12.38130188,,95633.15625,98310.78125,26.786598,12.75537872,
HRV,Croatia,91615.42188,86658.08594,4.271497,1.464040637,,92245.60938,88386.97656,4.255853,1.499366403,
COD,D.R. of the Congo,86885.4375,86575.15625,72.552861,23.40036011,,91121.26563,90329.82031,74.87703,24.25090218,
YEM,Yemen,88421.19531,97488.30469,25.533217,6.153318405,,87847.91406,92364.17969,26.183676,6.404294968,
LTU,Lithuania,79223.92969,70289.63281,2.96381,1.089041829,1841.24732,82275.73438,74257.69531,2.916798,1.096426964,1833.529872
SYR,Syrian Arab Republic,78317.125,83039.125,19.322593,4.862842083,,78843.42969,83358.98438,18.772481,4.742468834,
LBN,Lebanon,77263.45313,77600.74219,5.28699,1.766353965,,78566.07031,79881.98438,5.612096,1.86560905,
JOR,Jordan,75215.17969,84495.82031,7.214832,1.736805081,,77541.13281,88011.82031,7.416083,1.803353548,
PAN,Panama,76753.80469,80777.86719,3.805683,1.731567979,,76196.70313,77747.44531,3.867535,1.74871695,
CIV,C̫te d'Ivoire,68543.76563,67324.05469,21.62249,8.023766518,,74280.63281,71899.84375,22.157107,8.246482849,
MAC,"China, Macao SAR",72711.23438,72321.21875,0.568056,0.351167619,,73383.53125,76197.84375,0.577914,0.355297446,
URY,Uruguay,67497.92188,64444.99219,3.407969,1.64618516,1592.569647,69742.91406,67652.32813,3.419516,1.657306314,1592.569647
UGA,Uganda,65761.85156,68171.00781,36.573387,13.86187458,,69485.10938,70625.64844,37.782971,14.36679268,
CRI,Costa Rica,64831.64844,59420.55469,4.706433,2.265884876,2223,67490.32813,64119.19922,4.757606,2.339190006,2216
BOL,Bolivia (Plurinational State of),63061.62109,61665.94141,10.399931,4.851142406,,63506.14453,61892.74609,10.561887,4.961089134,
SVN,Slovenia,60187.19141,54389.06641,2.064819,0.957787812,1549.507211,62989.50781,57528.29688,2.066068,0.966929555,1560.645009
NPL,Nepal,57776.07031,68450.89063,27.834981,14.66817284,,61233.76953,73343.53125,28.174724,15.06411552,
CMR,Cameroon,57711.25,58108.375,22.211166,9.635206223,,61073.92969,61456.91797,22.773014,9.935407639,
ZMB,Zambia,55544.69531,53859.32422,15.246086,4.163957596,,58580.58203,57005.47656,15.721343,4.303881168,
BHR,Bahrain,55745.19531,53655.84766,1.349427,0.69589889,,56691.87109,53291.05078,1.36193,0.694240689,
PRY,Paraguay,52245.83203,50936.67969,6.465669,3.005879879,,54279.03906,53813.09375,6.552518,3.054332972,
LUX,Luxembourg,50029.69141,31251.36523,0.544885,0.408508688,1502.914508,52972.23828,37470.51953,0.556573,0.422449559,1501.710526
SLV,El Salvador,46742.54297,47392.96484,6.089644,2.562759876,,47903.34375,48970.29297,6.107706,2.597072124,
LVA,Latvia,45428.82031,42438.69531,2.011857,0.820676267,1927.746081,47105.69531,44796.25,1.989354,0.805447757,1938.475754
KHM,Cambodia,44534.97266,44740.27734,15.078564,8.833342552,2510.40579,45914.92969,46178.23047,15.328136,8.977516174,2510.40579
TTO,Trinidad and Tobago,41433.57813,42238.20313,1.34824,0.689065456,1583.311787,42254.32422,42816.24609,1.354483,0.691227615,1583.311787
BIH,Bosnia and Herzegovina,37370.31641,37386.85547,3.823533,0.66398257,,38280.54297,38765.98438,3.817554,0.68592906,
GEO,Georgia,36906.14063,40211.27344,4.082727,1.415579081,,37772.18359,41817.30859,4.034774,1.400669932,
EST,Estonia,36380.42578,33208.0625,1.32005,0.626368999,1865.842902,37561.5625,34273.98438,1.316203,0.633554041,1859.431874
LAO,Lao People's DR,33633.51953,34531.34375,6.579985,3.229408979,,37083.38281,38281.57813,6.6893,3.299468994,
BWA,Botswana,30886.61328,28952.57031,2.17651,0.93798697,,35908.01563,33734.15625,2.219937,0.954060018,
HND,Honduras,33759.90625,33670.28125,7.849059,3.276676178,,35219.23828,34835.65234,7.96168,3.381201029,
MNG,Mongolia,30365.05859,32257.05273,2.859174,1.186516047,,33540.50781,32499.91016,2.909871,1.209491014,
SEN,Senegal,30911.56055,31931.27148,14.221041,4.622486115,,32968.25781,34267.01563,14.672557,4.783117771,
GNQ,Equatorial Guinea,33247.83594,33743.14453,0.797082,0.363869995,,32944.54688,32218.20703,0.820885,0.372637987,
MOZ,Mozambique,28520.29492,29967.66797,26.46718,11.16726112,,30948.16992,33657.68359,27.216276,11.48002625,
ALB,Albania,29124.04297,29925.31445,2.883281,0.876323998,,30816.7168,31845.375,2.889676,0.88367933,
MDG,Madagascar,24882.20313,25685.83008,22.924557,9.971405983,,29168.22461,29461.60742,23.571713,10.29652023,
BRN,Brunei Darussalam,29420.39844,32162.11719,0.411499,0.198983997,,28590.88477,29078.64453,0.417394,0.200080007,
ZWE,Zimbabwe,27011.98828,28157.88672,14.898092,6.287055969,,28495.55469,29149.70898,15.245855,6.499973774,
BFA,Burkina Faso,24781.72656,25197.00586,17.084554,6.156344891,,27526.66211,27324.97266,17.589198,6.361454487,
TCD,Chad,26042.72852,25573.92188,13.145788,4.599795818,,27347.58594,27095.88672,13.587053,4.7766819,
MKD,TFYR of Macedonia,25827.49805,25963.41992,2.072543,0.715341091,,27295.77344,27616.47266,2.075625,0.726799786,
NIC,Nicaragua,25161.23633,25744.14063,5.945646,2.477880001,,26778.78125,27321.49023,6.013913,2.525144815,
NAM,Namibia,23662.27344,22235.29883,2.346592,0.609294951,,26217.4668,26939.92188,2.402858,0.652966022,
ARM,Armenia,25079.19336,26804.59766,2.992192,1.187979937,1842,25810.71289,27573.11523,3.006154,1.20193553,1842
CYP,Cyprus,25852.13672,22578.82813,0.873392,0.294797957,1846.450202,25243.19336,21887.2793,0.882577,0.288066268,1826.800206
MLI,Mali,23130.00391,23997.6875,16.592097,5.392372608,,24493.43359,25883.49023,17.086022,5.548984528,
GAB,Gabon,24634.56445,25270.06055,1.650351,0.396806985,,23899.0293,24315.71484,1.687673,0.40791899,
TJK,Tajikistan,22645.31055,26555.88086,8.111894,2.366020679,,22792.39453,26514.14648,8.29584,2.422288418,
MUS,Mauritius,21612,21814.62891,1.26356,0.556870043,,22760.68164,23067.92773,1.268567,0.569180012,
JAM,Jamaica,20736.19336,20012.89258,2.773215,1.056566834,1867.88491,20734.01953,20293.22656,2.783301,1.072340488,1867.88491
BEN,Benin,18881.04688,20464.17383,10.322232,4.188154221,,20368.69531,22537.58984,10.598482,4.322380066,
COG,Congo,22056.60156,23777.20117,4.394334,1.636821032,,19940.50391,21158.95508,4.504962,1.675409079,
KGZ,Kyrgyzstan,19077.38867,24677.36328,5.745698,2.282603979,,19625.8418,32920.93359,5.843617,2.318579912,
MDA,Republic of Moldova,19026.96094,21113.71484,4.073714,1.313785195,,19592.2793,21948.69727,4.07234,1.340459108,
PSE,State of Palestine,19584.87891,21593.13086,4.418341,,,19336.16016,19580.51563,4.542059,,
RWA,Rwanda,16697.71094,17535.43359,11.078095,5.296621323,,17751.0918,18563.01367,11.341544,5.492035866,
GIN,Guinea,15650.50781,16797.64648,11.948726,5.518706799,,17536.16016,19414.72266,12.275527,5.685687065,
HTI,Haiti,16141.3623,17223.42969,10.431249,4.185856342,,16517.28906,17735.09375,10.572029,4.284435749,
NER,Niger,15527.42188,15614.61719,18.358863,6.527707577,,16278.11914,16789.17773,19.113728,6.790604591,
MWI,Malawi,14666.74414,16696.01953,16.190126,6.285578728,,15844.2627,16232.61035,16.695253,6.506911278,
ISL,Iceland,13492.31836,12616.86328,0.325392,0.180509016,1846,14034.1123,12987.29199,0.327318,0.183253154,1864
MRT,Mauritania,11213.30371,11476.69531,3.872684,0.751985967,,13532.78516,13453.11816,3.969625,0.772466004,
MLT,Malta,12921.11523,10049.41797,0.416747,0.181806296,1987.470739,13218.30078,10028.05859,0.417723,0.189792648,1961.68329
SWZ,Swaziland,10238.9502,9673.158203,1.250641,0.288856,,10189.92969,9622.799805,1.269112,0.30073601,
TGO,Togo,9333.148438,9939.703125,6.928719,2.967452049,,9844.977539,10346.14648,7.115163,3.056036949,
MNE,Montenegro,8822.866211,10125.45215,0.624648,0.200350001,,9108.553711,10451.12305,0.625292,0.203737006,
BHS,Bahamas,9007.428711,7484.3125,0.377841,0.184662998,,8983.257813,8118.815918,0.383054,0.190329,
SLE,Sierra Leone,11020.82129,10430.22852,6.178859,2.273472071,,8961.945313,8618.688477,6.315627,2.332803011,
